Compound,Date,Negative,Neutral,Positive,Screen_Name
0.6808,Thu Nov 30 17:30:05 +0000 2017,0.752,0.0,0.248,CBS
0.3612,Thu Nov 30 15:00:05 +0000 2017,0.865,0.0,0.135,CBS
0.0,Sun Dec 03 00:21:41 +0000 2017,1.0,0.0,0.0,fox
0.8904,Sat Dec 02 04:47:26 +0000 2017,0.274,0.0,0.726,fox
0.4215,Sat Dec 02 04:46:50 +0000 2017,0.877,0.0,0.123,fox
-0.2481,Sat Dec 02 04:34:43 +0000 2017,0.686,0.177,0.137,fox
0.0,Sat Dec 02 04:33:29 +0000 2017,1.0,0.0,0.0,fox
0.765,Sat Dec 02 04:15:03 +0000 2017,0.752,0.0,0.248,fox
0.4404,Fri Dec 01 05:51:08 +0000 2017,0.497,0.161,0.342,fox
0.0,Fri Dec 01 05:48:18 +0000 2017,1.0,0.0,0.0,fox
0.0,Fri Dec 01 03:04:01 +0000 2017,1.0,0.0,0.0,fox
0.5984,Thu Nov 30 23:08:54 +0000 2017,0.786,0.0,0.214,fox
0.5574,Thu Nov 30 20:41:13 +0000 2017,0.827,0.0,0.173,fox
0.4023,Thu Nov 30 10:00:47 +0000 2017,0.895,0.0,0.105,fox
0.6486,Thu Nov 30 05:49:08 +0000 2017,0.773,0.0,0.227,fox
-0.5574,Thu Nov 30 05:37:35 +0000 2017,0.769,0.231,0.0,fox
0.3182,Thu Nov 30 04:54:56 +0000 2017,0.909,0.0,0.091,fox
0.8834,Thu Nov 30 04:36:36 +0000 2017,0.474,0.0,0.526,fox
0.4019,Thu Nov 30 04:34:44 +0000 2017,0.881,0.0,0.119,fox
-0.3182,Thu Nov 30 04:33:38 +0000 2017,0.897,0.103,0.0,fox
0.2732,Thu Nov 30 03:58:45 +0000 2017,0.916,0.0,0.084,fox
0.0,Thu Nov 30 03:16:02 +0000 2017,1.0,0.0,0.0,fox
0.2732,Sun Dec 03 05:30:06 +0000 2017,0.896,0.0,0.104,CNN
0.4019,Sun Dec 03 05:15:08 +0000 2017,0.847,0.0,0.153,CNN
0.8074,Sun Dec 03 05:00:13 +0000 2017,0.644,0.0,0.356,CNN
-0.6369,Sun Dec 03 04:46:01 +0000 2017,0.42,0.346,0.234,CNN
0.0,Sun Dec 03 04:31:07 +0000 2017,1.0,0.0,0.0,CNN
-0.5574,Sun Dec 03 04:15:06 +0000 2017,0.662,0.338,0.0,CNN
0.0,Sun Dec 03 04:00:26 +0000 2017,1.0,0.0,0.0,CNN
-0.4404,Sun Dec 03 03:45:03 +0000 2017,0.838,0.162,0.0,CNN
0.0,Sun Dec 03 03:31:41 +0000 2017,1.0,0.0,0.0,CNN
-0.25,Sun Dec 03 03:15:06 +0000 2017,0.867,0.133,0.0,CNN
0.0,Sun Dec 03 03:00:31 +0000 2017,1.0,0.0,0.0,CNN
-0.296,Sun Dec 03 02:45:04 +0000 2017,0.864,0.136,0.0,CNN
-0.802,Sun Dec 03 02:30:14 +0000 2017,0.702,0.298,0.0,CNN
0.0,Sun Dec 03 02:15:02 +0000 2017,1.0,0.0,0.0,CNN
0.0,Sun Dec 03 02:00:17 +0000 2017,1.0,0.0,0.0,CNN
-0.5574,Sun Dec 03 01:45:05 +0000 2017,0.685,0.315,0.0,CNN
-0.4404,Sun Dec 03 01:30:18 +0000 2017,0.775,0.225,0.0,CNN
0.0,Sun Dec 03 01:15:08 +0000 2017,1.0,0.0,0.0,CNN
0.7096,Sun Dec 03 01:00:15 +0000 2017,0.753,0.0,0.247,CNN
-0.3612,Sun Dec 03 00:58:24 +0000 2017,0.73,0.167,0.103,CNN
0.6369,Sun Dec 03 05:28:40 +0000 2017,0.588,0.0,0.412,nytimes
0.2023,Sun Dec 03 05:11:53 +0000 2017,0.663,0.148,0.189,nytimes
0.4215,Sun Dec 03 05:00:08 +0000 2017,0.877,0.0,0.123,nytimes
0.7096,Sun Dec 03 04:59:05 +0000 2017,0.688,0.0,0.312,nytimes
-0.7506,Sun Dec 03 04:47:04 +0000 2017,0.758,0.242,0.0,nytimes
0.0,Sun Dec 03 04:37:03 +0000 2017,1.0,0.0,0.0,nytimes
